<Mach-1 File>
<INFO>
Date:	Thu, Nov 23, 2023
Time:	12:37:57.090
Mach-1 Motion Software Version:	4.4.0.17
Mach-1 System S/N:	MA0561140
Mach-1 System Model:	V500ct
Load Cell Name:	10kg - SN: 1805192
Load Cell Type:	Single-axis
Load Cell Calibration Factor:	0.962816
Load Cell Offset:	171.500000
Load Cell Calibration Date:	2023-11-23
<END INFO>
<Stress Relaxation>
Stage Axis:	Position (z)
Load Cell Axis:	Fz
Amplitude, mm:	1.2660
Velocity, mm/s:	0.0063
Number of Ramp:	1
Stop based on:	Fixed Relaxation Time
Fixed Relaxation Time, s:	60
Relaxation Rate, gf/min:	0.0100
Time for Measurement of the Slope, s:	10
<DATA>
Time, s	Position (z), mm	Position (theta), deg	Fz, gf
3.820000	-5.516600	0.000000	0.481408
3.830000	-5.516600	0.000000	0.481408
3.840000	-5.516500	0.000000	0.481408
3.850000	-5.516400	0.000000	0.481408
3.860000	-5.516400	0.000000	0.481408
3.870000	-5.516300	0.000000	0.481408
3.880000	-5.516200	0.000000	0.481408
3.890000	-5.516200	0.000000	0.481408
3.900000	-5.516100	0.000000	0.481408
3.910000	-5.516000	0.000000	0.962816
3.920000	-5.516000	0.000000	0.962816
3.930000	-5.515900	0.000000	0.962816
3.940000	-5.515900	0.000000	0.481408
3.950000	-5.515800	0.000000	0.481408
3.960000	-5.515800	0.000000	0.481408
3.970000	-5.515700	0.000000	0.481408
3.980000	-5.515600	0.000000	0.481408
3.990000	-5.515600	0.000000	0.481408
4.000000	-5.515500	0.000000	0.962816
4.010000	-5.515400	0.000000	0.481408
4.020000	-5.515400	0.000000	0.481408
4.030000	-5.515300	0.000000	0.481408
4.040000	-5.515200	0.000000	0.481408
4.050000	-5.515200	0.000000	0.481408
4.060000	-5.515100	0.000000	0.481408
4.070000	-5.515000	0.000000	0.481408
4.080000	-5.514900	0.000000	0.481408
4.090000	-5.514900	0.000000	0.481408
4.100000	-5.514800	0.000000	0.962816
4.110000	-5.514800	0.000000	0.962816
4.120000	-5.514700	0.000000	0.481408
4.130000	-5.514600	0.000000	0.481408
4.140000	-5.514600	0.000000	0.481408
4.150000	-5.514500	0.000000	0.481408
4.160000	-5.514500	0.000000	0.962816
4.170000	-5.514400	0.000000	0.962816
4.180000	-5.514400	0.000000	0.962816
4.190000	-5.514300	0.000000	0.962816
4.200000	-5.514200	0.000000	0.962816
4.210000	-5.514200	0.000000	0.962816
4.220000	-5.514100	0.000000	0.962816
4.230000	-5.514100	0.000000	0.962816
4.240000	-5.514000	0.000000	0.481408
4.250000	-5.513900	0.000000	0.481408
4.260000	-5.513900	0.000000	0.481408
4.270000	-5.513800	0.000000	0.481408
4.280000	-5.513700	0.000000	0.481408
4.290000	-5.513700	0.000000	0.481408
4.300000	-5.513600	0.000000	0.481408
4.310000	-5.513500	0.000000	0.481408
4.320000	-5.513500	0.000000	0.481408
4.330000	-5.513400	0.000000	0.481408
4.340000	-5.513300	0.000000	0.481408
4.350000	-5.513300	0.000000	0.481408
4.360000	-5.513200	0.000000	0.481408
4.370000	-5.513200	0.000000	0.481408
4.380000	-5.513100	0.000000	0.481408
4.390000	-5.513000	0.000000	0.481408
4.400000	-5.513000	0.000000	0.481408
4.410000	-5.512900	0.000000	0.481408
4.420000	-5.512800	0.000000	0.481408
4.430000	-5.512700	0.000000	0.481408
4.440000	-5.512700	0.000000	0.481408
4.450000	-5.512600	0.000000	0.481408
4.460000	-5.512600	0.000000	0.481408
4.470000	-5.512500	0.000000	0.481408
4.480000	-5.512400	0.000000	0.481408
4.490000	-5.512400	0.000000	0.962816
4.500000	-5.512300	0.000000	0.481408
4.510000	-5.512300	0.000000	0.481408
4.520000	-5.512200	0.000000	0.481408
4.530000	-5.512200	0.000000	0.481408
4.540000	-5.512100	0.000000	0.481408
4.550000	-5.512000	0.000000	0.481408
4.560000	-5.512000	0.000000	0.481408
4.570000	-5.511900	0.000000	0.481408
4.580000	-5.511800	0.000000	0.481408
4.590000	-5.511800	0.000000	0.481408
4.600000	-5.511700	0.000000	0.481408
4.610000	-5.511600	0.000000	0.481408
4.620000	-5.511500	0.000000	0.481408
4.630000	-5.511500	0.000000	0.481408
4.640000	-5.511400	0.000000	0.962816
4.650000	-5.511400	0.000000	0.481408
4.660000	-5.511300	0.000000	0.962816
4.670000	-5.511200	0.000000	0.962816
4.680000	-5.511200	0.000000	0.481408
4.690000	-5.511100	0.000000	0.481408
4.700000	-5.511100	0.000000	0.481408
4.710000	-5.511000	0.000000	0.481408
4.720000	-5.511000	0.000000	0.962816
4.730000	-5.510900	0.000000	0.481408
4.740000	-5.510900	0.000000	0.962816
4.750000	-5.510800	0.000000	0.962816
4.760000	-5.510700	0.000000	0.962816
4.770000	-5.510700	0.000000	0.962816
4.780000	-5.510600	0.000000	0.481408
4.790000	-5.510500	0.000000	0.481408
4.800000	-5.510500	0.000000	0.962816
4.810000	-5.510400	0.000000	0.962816
4.820000	-5.510300	0.000000	0.962816
4.830000	-5.510300	0.000000	0.962816
4.840000	-5.510200	0.000000	0.481408
4.850000	-5.510100	0.000000	0.481408
4.860000	-5.510100	0.000000	0.481408
4.870000	-5.510000	0.000000	0.481408
4.880000	-5.509900	0.000000	0.481408
4.890000	-5.509900	0.000000	0.481408
4.900000	-5.509800	0.000000	0.481408
4.910000	-5.509700	0.000000	0.481408
4.920000	-5.509700	0.000000	0.481408
4.930000	-5.509600	0.000000	0.481408
4.940000	-5.509500	0.000000	0.481408
4.950000	-5.509500	0.000000	0.481408
4.960000	-5.509400	0.000000	0.481408
4.970000	-5.509400	0.000000	0.481408
4.980000	-5.509300	0.000000	0.481408
4.990000	-5.509300	0.000000	0.481408
5.000000	-5.509200	0.000000	0.481408
5.010000	-5.509100	0.000000	0.481408
5.020000	-5.509100	0.000000	0.481408
5.030000	-5.509000	0.000000	0.481408
5.040000	-5.508900	0.000000	0.481408
5.050000	-5.508900	0.000000	0.481408
5.060000	-5.508800	0.000000	0.481408
5.070000	-5.508700	0.000000	0.962816
5.080000	-5.508700	0.000000	0.481408
5.090000	-5.508600	0.000000	0.481408
5.100000	-5.508500	0.000000	0.481408
5.110000	-5.508500	0.000000	0.481408
5.120000	-5.508400	0.000000	0.481408
5.130000	-5.508400	0.000000	0.481408
5.140000	-5.508300	0.000000	0.481408
5.150000	-5.508200	0.000000	0.481408
5.160000	-5.508200	0.000000	0.481408
5.170000	-5.508100	0.000000	0.481408
5.180000	-5.508000	0.000000	0.962816
5.190000	-5.508000	0.000000	0.962816
5.200000	-5.507900	0.000000	0.481408
5.210000	-5.507900	0.000000	0.481408
5.220000	-5.507800	0.000000	0.481408
5.230000	-5.507700	0.000000	0.481408
5.240000	-5.507700	0.000000	0.481408
5.250000	-5.507600	0.000000	0.481408
5.260000	-5.507600	0.000000	0.481408
5.270000	-5.507500	0.000000	0.481408
5.280000	-5.507400	0.000000	0.481408
5.290000	-5.507300	0.000000	0.962816
5.300000	-5.507300	0.000000	0.962816
5.310000	-5.507200	0.000000	0.481408
5.320000	-5.507100	0.000000	0.481408
5.330000	-5.507100	0.000000	0.481408
5.340000	-5.507000	0.000000	0.481408
5.350000	-5.507000	0.000000	0.481408
5.360000	-5.506900	0.000000	0.481408
5.370000	-5.506800	0.000000	0.481408
5.380000	-5.506800	0.000000	0.481408
5.390000	-5.506700	0.000000	0.481408
5.400000	-5.506700	0.000000	0.481408
5.410000	-5.506600	0.000000	0.481408
5.420000	-5.506600	0.000000	0.481408
5.430000	-5.506500	0.000000	0.481408
5.440000	-5.506400	0.000000	0.481408
5.450000	-5.506400	0.000000	0.481408
5.460000	-5.506300	0.000000	0.481408
5.470000	-5.506200	0.000000	0.481408
5.480000	-5.506200	0.000000	0.481408
5.490000	-5.506100	0.000000	0.481408
5.500000	-5.506000	0.000000	0.481408
5.510000	-5.506000	0.000000	0.481408
5.520000	-5.505900	0.000000	0.481408
5.530000	-5.505800	0.000000	0.481408
5.540000	-5.505800	0.000000	0.481408
